Year,Disease,Neighborhood,Case Count,"Crude Rate per 100,000 Population","Age-Adjusted Rate per 100,000 Population"
2005,Acute hepatitis B,409 Southeast Queens,0,0,0
2005,Acute hepatitis B,410 Rockaway,0,0,0
2005,Acute hepatitis B,501 Port Richmond,0,0,0
2005,Acute hepatitis B,502 Stapleton - St. George,0,0,0
2005,Acute hepatitis B,503 Willowbrook,0,0,0
2005,Acute hepatitis B,504 South Beach - Tottenville,1,0.5,0.6
2006,Acute hepatitis B,101 Kingsbridge - Riverdale,1,1.1,1.2
2006,Acute hepatitis B,102 Northeast Bronx,2,1.1,1.1
2006,Acute hepatitis B,103 Fordham - Bronx Park,4,1.6,1.6
2006,Acute hepatitis B,104 Pelham - Throgs Neck,4,1.4,1.3
2006,Acute hepatitis B,105 Crotona - Tremont,3,1.5,2
2006,Acute hepatitis B,106 High Bridge - Morrisania,4,2,2.1
2006,Acute hepatitis B,107 Hunts Point - Mott Haven,1,0.8,0.8
2006,Acute hepatitis B,201 Greenpoint,3,2.5,2.1
2006,Acute hepatitis B,202 Downtown - Heights - Slope,8,3.7,2.8
2006,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,4,1.3,1.2
2006,Acute hepatitis B,204 East New York,2,1.1,1.2
2006,Acute hepatitis B,205 Sunset Park,1,0.8,0.7
2006,Acute hepatitis B,206 Borough Park,2,0.6,0.6
2006,Acute hepatitis B,207 East Flatbush - Flatbush,8,2.6,2.6
2006,Acute hepatitis B,208 Canarsie - Flatlands,3,1.5,1.4
2006,Acute hepatitis B,209 Bensonhurst - Bay Ridge,5,2.5,2.5
2006,Acute hepatitis B,210 Coney Island - Sheepshead Bay,3,1,1.1
2006,Acute hepatitis B,211 Williamsburg - Bushwick,1,0.5,0.5
2006,Acute hepatitis B,301 Washington Heights - Inwood,3,1.2,1.1
2006,Acute hepatitis B,302 Central Harlem - Morningside Heights,4,2.5,2.6
2006,Acute hepatitis B,303 East Harlem,5,4.5,4.6
2006,Acute hepatitis B,304 Upper West Side,4,1.8,1.5
2006,Acute hepatitis B,305 Upper East Side,4,1.8,1.4
2006,Acute hepatitis B,306 Chelsea - Clinton,6,4.3,3
2006,Acute hepatitis B,307 Gramercy Park - Murray Hill,2,1.5,1.4
2006,Acute hepatitis B,308 Greenwich Village - Soho,0,0,0
2006,Acute hepatitis B,309 Union Square - Lower East Side,3,1.5,1.3
2006,Acute hepatitis B,310 Lower Manhattan,1,2.2,2
2006,Acute hepatitis B,401 Long Island City - Astoria,3,1.4,1
2006,Acute hepatitis B,402 West Queens,9,1.9,1.8
2006,Acute hepatitis B,403 Flushing - Clearview,2,0.8,0.6
2006,Acute hepatitis B,404 Bayside - Littleneck,0,0,0
2006,Acute hepatitis B,405 Ridgewood - Forest Hills,4,1.7,1.5
2006,Acute hepatitis B,406 Fresh Meadows,0,0,0
2006,Acute hepatitis B,407 Southwest Queens,3,1.2,1.1
2006,Acute hepatitis B,408 Jamaica,2,0.7,0.7
2006,Acute hepatitis B,409 Southeast Queens,2,1,1
2006,Acute hepatitis B,410 Rockaway,2,1.8,2.1
2006,Acute hepatitis B,501 Port Richmond,0,0,0
2006,Acute hepatitis B,502 Stapleton - St. George,2,1.7,1.7
2006,Acute hepatitis B,503 Willowbrook,1,1.2,0.9
2006,Acute hepatitis B,504 South Beach - Tottenville,4,2.2,2
2006,Acute hepatitis B,"999 NYC resident, neighborhood unknown",1,99999,99999
2007,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2007,Acute hepatitis B,102 Northeast Bronx,4,2.1,2.1
2007,Acute hepatitis B,103 Fordham - Bronx Park,8,3.2,3.2
2007,Acute hepatitis B,104 Pelham - Throgs Neck,2,0.7,0.7
2007,Acute hepatitis B,105 Crotona - Tremont,9,4.4,4.7
2007,Acute hepatitis B,106 High Bridge - Morrisania,5,2.5,2.6
2007,Acute hepatitis B,107 Hunts Point - Mott Haven,2,1.5,1.7
2007,Acute hepatitis B,201 Greenpoint,0,0,0
2007,Acute hepatitis B,202 Downtown - Heights - Slope,2,0.9,0.7
2007,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,7,2.2,2.1
2007,Acute hepatitis B,204 East New York,3,1.7,1.6
2007,Acute hepatitis B,205 Sunset Park,3,2.4,2.2
2007,Acute hepatitis B,206 Borough Park,2,0.6,0.6
2007,Acute hepatitis B,207 East Flatbush - Flatbush,7,2.3,2.3
2007,Acute hepatitis B,208 Canarsie - Flatlands,0,0,0
2007,Acute hepatitis B,209 Bensonhurst - Bay Ridge,1,0.5,0.4
2007,Acute hepatitis B,210 Coney Island - Sheepshead Bay,3,1,1
2007,Acute hepatitis B,211 Williamsburg - Bushwick,7,3.5,3.2
2007,Acute hepatitis B,301 Washington Heights - Inwood,3,1.2,1.1
2007,Acute hepatitis B,302 Central Harlem - Morningside Heights,2,1.3,1.2
2007,Acute hepatitis B,303 East Harlem,2,1.8,1.8
2007,Acute hepatitis B,304 Upper West Side,2,0.9,0.8
2007,Acute hepatitis B,305 Upper East Side,1,0.5,0.3
2007,Acute hepatitis B,306 Chelsea - Clinton,7,5,3.5
2007,Acute hepatitis B,307 Gramercy Park - Murray Hill,5,3.8,3.3
2007,Acute hepatitis B,308 Greenwich Village - Soho,2,2.4,1.6
2007,Acute hepatitis B,309 Union Square - Lower East Side,3,1.5,1.3
2007,Acute hepatitis B,310 Lower Manhattan,1,2.1,1.3
2007,Acute hepatitis B,401 Long Island City - Astoria,4,1.9,1.7
2007,Acute hepatitis B,402 West Queens,5,1.1,1.1
2007,Acute hepatitis B,403 Flushing - Clearview,2,0.8,0.7
2007,Acute hepatitis B,404 Bayside - Littleneck,1,1.2,0.9
2007,Acute hepatitis B,405 Ridgewood - Forest Hills,0,0,0
2007,Acute hepatitis B,406 Fresh Meadows,0,0,0
2007,Acute hepatitis B,407 Southwest Queens,5,1.9,1.9
2007,Acute hepatitis B,408 Jamaica,2,0.7,0.7
2007,Acute hepatitis B,409 Southeast Queens,4,2.1,2.3
2007,Acute hepatitis B,410 Rockaway,2,1.8,1.9
2007,Acute hepatitis B,501 Port Richmond,1,1.5,1.5
2007,Acute hepatitis B,502 Stapleton - St. George,0,0,0
2007,Acute hepatitis B,503 Willowbrook,1,1.2,0.9
2007,Acute hepatitis B,504 South Beach - Tottenville,1,0.5,0.6
2008,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2008,Acute hepatitis B,102 Northeast Bronx,4,2.1,2
2008,Acute hepatitis B,103 Fordham - Bronx Park,2,0.8,0.8
2008,Acute hepatitis B,104 Pelham - Throgs Neck,2,0.7,0.7
2008,Acute hepatitis B,105 Crotona - Tremont,3,1.5,1.9
2008,Acute hepatitis B,106 High Bridge - Morrisania,3,1.5,1.4
2008,Acute hepatitis B,107 Hunts Point - Mott Haven,1,0.8,0.8
2008,Acute hepatitis B,201 Greenpoint,2,1.6,1.3
2008,Acute hepatitis B,202 Downtown - Heights - Slope,2,0.9,0.8
2008,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,7,2.2,2.1
2008,Acute hepatitis B,204 East New York,7,3.8,4
2008,Acute hepatitis B,205 Sunset Park,1,0.8,0.7
2008,Acute hepatitis B,206 Borough Park,1,0.3,0.3
2008,Acute hepatitis B,207 East Flatbush - Flatbush,5,1.7,1.6
2008,Acute hepatitis B,208 Canarsie - Flatlands,1,0.5,0.4
2008,Acute hepatitis B,209 Bensonhurst - Bay Ridge,2,1,0.9
2008,Acute hepatitis B,210 Coney Island - Sheepshead Bay,2,0.7,0.7
2008,Acute hepatitis B,211 Williamsburg - Bushwick,3,1.5,1.5
2008,Acute hepatitis B,301 Washington Heights - Inwood,3,1.2,1.1
2008,Acute hepatitis B,302 Central Harlem - Morningside Heights,4,2.5,2.3
2008,Acute hepatitis B,303 East Harlem,2,1.8,1.8
2008,Acute hepatitis B,304 Upper West Side,2,0.9,0.7
2008,Acute hepatitis B,305 Upper East Side,3,1.4,1
2008,Acute hepatitis B,306 Chelsea - Clinton,5,3.5,2.8
2008,Acute hepatitis B,307 Gramercy Park - Murray Hill,2,1.5,1.1
2008,Acute hepatitis B,308 Greenwich Village - Soho,0,0,0
2008,Acute hepatitis B,309 Union Square - Lower East Side,5,2.5,2.2
2008,Acute hepatitis B,310 Lower Manhattan,1,2,1.3
2008,Acute hepatitis B,401 Long Island City - Astoria,2,0.9,0.8
2008,Acute hepatitis B,402 West Queens,6,1.3,1.1
2008,Acute hepatitis B,403 Flushing - Clearview,2,0.8,0.8
2008,Acute hepatitis B,404 Bayside - Littleneck,1,1.2,0.9
2008,Acute hepatitis B,405 Ridgewood - Forest Hills,2,0.8,0.7
2008,Acute hepatitis B,406 Fresh Meadows,1,1.1,1.1
2008,Acute hepatitis B,407 Southwest Queens,0,0,0
2008,Acute hepatitis B,408 Jamaica,2,0.7,0.7
2008,Acute hepatitis B,409 Southeast Queens,1,0.5,0.6
2008,Acute hepatitis B,410 Rockaway,2,1.8,1.9
2008,Acute hepatitis B,501 Port Richmond,1,1.5,1.4
2008,Acute hepatitis B,502 Stapleton - St. George,0,0,0
2008,Acute hepatitis B,503 Willowbrook,1,1.2,1.3
2008,Acute hepatitis B,504 South Beach - Tottenville,2,1.1,1
2009,Acute hepatitis B,101 Kingsbridge - Riverdale,0,0,0
2009,Acute hepatitis B,102 Northeast Bronx,0,0,0
2009,Acute hepatitis B,103 Fordham - Bronx Park,3,1.2,1.2
2009,Acute hepatitis B,104 Pelham - Throgs Neck,1,0.3,0.3
2009,Acute hepatitis B,105 Crotona - Tremont,2,1,1
2009,Acute hepatitis B,106 High Bridge - Morrisania,3,1.5,1.4
2009,Acute hepatitis B,107 Hunts Point - Mott Haven,0,0,0
2009,Acute hepatitis B,201 Greenpoint,1,0.8,1
2009,Acute hepatitis B,202 Downtown - Heights - Slope,0,0,0
2009,Acute hepatitis B,203 Bedford Stuyvesant - Crown Heights,7,2.2,2.1
2009,Acute hepatitis B,204 East New York,3,1.6,1.5
2009,Acute hepatitis B,205 Sunset Park,1,0.8,0.8
2009,Acute hepatitis B,206 Borough Park,3,0.9,0.9
2009,Acute hepatitis B,207 East Flatbush - Flatbush,5,1.7,1.7
2009,Acute hepatitis B,208 Canarsie - Flatlands,0,0,0
2009,Acute hepatitis B,209 Bensonhurst - Bay Ridge,5,2.4,2.1
2009,Acute hepatitis B,210 Coney Island - Sheepshead Bay,4,1.3,1
2009,Acute hepatitis B,211 Williamsburg - Bushwick,3,1.4,1.4
2009,Acute hepatitis B,301 Washington Heights - Inwood,1,0.4,0.4
2009,Acute hepatitis B,302 Central Harlem - Morningside Heights,2,1.2,1.1
2009,Acute hepatitis B,303 East Harlem,1,0.9,0.9
2009,Acute hepatitis B,304 Upper West Side,1,0.5,0.4
2009,Acute hepatitis B,305 Upper East Side,0,0,0
2009,Acute hepatitis B,306 Chelsea - Clinton,2,1.4,1.4
2009,Acute hepatitis B,307 Gramercy Park - Murray Hill,2,1.5,1.5
2009,Acute hepatitis B,308 Greenwich Village - Soho,1,1.2,1.1
2009,Acute hepatitis B,309 Union Square - Lower East Side,3,1.5,1.4
2009,Acute hepatitis B,310 Lower Manhattan,1,1.9,1.2
2009,Acute hepatitis B,401 Long Island City - Astoria,3,1.4,1.2
2009,Acute hepatitis B,402 West Queens,1,0.2,0.2
2009,Acute hepatitis B,403 Flushing - Clearview,4,1.5,1.4
2009,Acute hepatitis B,404 Bayside - Littleneck,0,0,0
2009,Acute hepatitis B,405 Ridgewood - Forest Hills,1,0.4,0.4
2009,Acute hepatitis B,406 Fresh Meadows,0,0,0
2009,Acute hepatitis B,407 Southwest Queens,2,0.8,0.8
2009,Acute hepatitis B,408 Jamaica,1,0.3,0.4
2009,Acute hepatitis B,409 Southeast Queens,0,0,0
